question_id,model,run,option_selected,correct_option,marks,neet_year,question_code
95,GPT-4 Turbo,1,C,B,0,2021,95 _ 2021
96,GPT-4 Turbo,1,D,A,0,2021,96 _ 2021
97,GPT-4 Turbo,1,A,A,1,2021,97 _ 2021
98,GPT-4 Turbo,1,A,D,0,2021,98 _ 2021
99,GPT-4 Turbo,1,B,B,1,2021,99 _ 2021
100,GPT-4 Turbo,1,A,A,1,2021,100 _ 2021
101,GPT-4 Turbo,1,D,B,0,2021,101 _ 2021
102,GPT-4 Turbo,1,B,C,0,2021,102 _ 2021
103,GPT-4 Turbo,1,A,C,0,2021,103 _ 2021
104,GPT-4 Turbo,1,A,A,1,2021,104 _ 2021
105,GPT-4 Turbo,1,C,D,0,2021,105 _ 2021
106,GPT-4 Turbo,1,B,D,0,2021,106 _ 2021
107,GPT-4 Turbo,1,A,A,1,2021,107 _ 2021
108,GPT-4 Turbo,1,C,B,0,2021,108 _ 2021
109,GPT-4 Turbo,1,A,B,0,2021,109 _ 2021
110,GPT-4 Turbo,1,B,A,0,2021,110 _ 2021
111,GPT-4 Turbo,1,A,A,1,2021,111 _ 2021
112,GPT-4 Turbo,1,B,B,1,2021,112 _ 2021
113,GPT-4 Turbo,1,B,B,1,2021,113 _ 2021
95,GPT-4o,1,C,B,0,2021,95 _ 2021
96,GPT-4o,1,A,A,1,2021,96 _ 2021
97,GPT-4o,1,A,A,1,2021,97 _ 2021
98,GPT-4o,1,A,D,0,2021,98 _ 2021
99,GPT-4o,1,A,B,0,2021,99 _ 2021
100,GPT-4o,1,A,A,1,2021,100 _ 2021
101,GPT-4o,1,D,B,0,2021,101 _ 2021
102,GPT-4o,1,D,C,0,2021,102 _ 2021
103,GPT-4o,1,A,C,0,2021,103 _ 2021
104,GPT-4o,1,A,A,1,2021,104 _ 2021
105,GPT-4o,1,D,D,1,2021,105 _ 2021
106,GPT-4o,1,A,D,0,2021,106 _ 2021
107,GPT-4o,1,A,A,1,2021,107 _ 2021
108,GPT-4o,1,B,B,1,2021,108 _ 2021
109,GPT-4o,1,A,B,0,2021,109 _ 2021
110,GPT-4o,1,A,A,1,2021,110 _ 2021
